Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,TD,Block,Return Yds,Return TD,Pts Allow,Pts Allow 1-6,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,500+ Yds Allow,POS
Indianapolis Colts,IND,1.0,2.0,1.0,1.0,2.0,0.0,0.0,54.0,0.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,330.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Dallas Cowboys,DAL,1.0,3.0,0.0,1.0,2.0,0.0,0.0,13.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,293.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Miami Dolphins,MIA,1.0,0.0,3.0,0.0,0.0,0.0,0.0,126.0,1.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,336.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Philadelphia Eagles,PHI,1.0,4.0,1.0,0.0,1.0,0.0,0.0,72.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,299.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Atlanta Falcons,ATL,1.0,2.0,1.0,1.0,0.0,0.0,0.0,11.0,0.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,232.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
New York Giants,NYG,1.0,1.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,305.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Jacksonville Jaguars,JAX,1.0,2.0,1.0,1.0,0.0,1.0,0.0,55.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,324.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
New York Jets,NYJ,1.0,0.0,5.0,0.0,0.0,1.0,0.0,182.0,1.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,339.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Detroit Lions,DET,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,1.0,349.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Green Bay Packers,GB,1.0,4.0,0.0,1.0,1.0,0.0,0.0,85.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,294.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Carolina Panthers,CAR,1.0,6.0,0.0,1.0,1.0,0.0,0.0,62.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,232.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
New England Patriots,NE,1.0,3.0,1.0,1.0,0.0,0.0,0.0,19.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,325.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Oakland Raiders,OAK,1.0,1.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,365.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Los Angeles Rams,LA,1.0,1.0,3.0,0.0,0.0,1.0,0.0,87.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,395.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Baltimore Ravens,BAL,1.0,6.0,2.0,0.0,0.0,0.0,0.0,78.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,153.0,1.0,0.0,0.0,0.0,0.0,0.0,DST
Washington Redskins,WAS,1.0,2.0,1.0,1.0,1.0,0.0,0.0,36.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,213.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
New Orleans Saints,NO,1.0,0.0,0.0,0.0,1.0,0.0,0.0,69.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,1.0,529.0,0.0,0.0,0.0,0.0,0.0,1.0,DST
Seattle Seahawks,SEA,1.0,1.0,3.0,0.0,0.0,0.0,0.0,50.0,0.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,470.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
Pittsburgh Steelers,PIT,1.0,7.0,1.0,0.0,1.0,0.0,1.0,125.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,327.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Houston Texans,HOU,1.0,2.0,1.0,2.0,2.0,0.0,0.0,176.0,0.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,389.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Tennessee Titans,TEN,1.0,1.0,2.0,0.0,0.0,0.0,0.0,165.0,1.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,342.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Minnesota Vikings,MIN,1.0,3.0,3.0,1.0,2.0,1.0,0.0,7.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,327.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
